lobbyist_action,uid,registrant_name,organization,employer,nature_of_business,subj_num1,subj_1,desc_1,subj_num2,subj_2,desc_2,subj_num_3,subj_3,desc_3,subj_num4,subj_4,desc_4,subj_num5,subj_5,desc_5
,A021429, Maria  Olsen, The Pels Law Firm," Ben Porto & Son, Ltd.", Quarry/Mine Property Owner,1,Counties - Local Laws,Water Quality Protection Charge,2,Environment,Water Quality Protection Charge,3,Natural Resources - Generally,Water Quality Protection Charge,4,State Government - Regulations and Procedures,Stormwater Remediation Fees,5,Taxes - Miscellaneous - Local,Water Quality Protection Charge
HB94\\SB484;HB139;HB208\\SB147;HB353;HB367;HB710\\SB679;SB11,A021431, J. Darrell  Carrington," Carrington & Associates, LLC", Sensys Gatso USA, Traffic Enforcement Solutions,1,Local Government - Generally,,2,Economic and Community Development,,,,,,,,,,
HB0006\\(SB0092);HB0007;HB0009(SB0019);HB0031;HB0036 (SB0100);HB0068 (SB0143);  HB0147 (SB0250); etc environmental - will send bill tracking report,A021433, J. Darrell  Carrington," Carrington & Associates, LLC", Chesapeake Physicians for Social Responsibility (CPSR), Non-Profit Environnmental - Climate Change - Nuclear Arms,1,Energy,,2,Environment,,3,Other,Social Justice Issues,,,,,,
HB556\\SB516,A021435, J. Darrell  Carrington," Carrington & Associates, LLC", Maryleaf dba Bloom Medicinals, Health Care,1,Commercial Law - Generally,,2,Health Care Facilities and Regulation,,3,Criminal Law - Procedure,,,,,,,
HB371;HB556\\SB516,A021437, J. Darrell  Carrington," Carrington & Associates, LLC",, Public Affairs and Government Relations,1,Capital Budget,,,,,,,,,,,,,
,A021439, Brady  Walker, Orsted North America Inc.," Orsted North America, Inc.", Renewable Energy Developer,1,Energy,Renewable Energy,,,,,,,,,,,,
SB143; SB158; SB34; SB224; SB447; HB678; HB718; SB743,A021441, Grayson S Middleton, Delmarva Chicken Association, Delmarva Chicken Association, Trade Association Representing the Poultry Industry,1,Agriculture,,2,Environment,,,,,,,,,,
SB181/HB200; SB601/HB814; SB59/HB107; SB202/HB279; SB806/HB363; SB365/HB588; SB26/HB111,A021443, Vincent  DeMarco, Maryland Citizens' Health Initiative (Inc & Education Fund)," Maryland Citizens' Health Initiative, Inc.", Health Care Advocacy,1,Insurance - Health,,2,Public Health,,1,Open Society Institute,"1730 Pennsylvania Avenue NW, 7th Floor, Washington, District of Columbia, 20006",2,Arnold Ventures,"1776 I St. NW, Washington, District of Columbia, 20006",,,
,A021445, Vincent  DeMarco, Maryland Citizens' Health Initiative (Inc & Education Fund), Maryland Citizens' Health Initiative Education Fund, Health care advocacy and education,1,Public Health,,2,Insurance - Health,,,,,,,,,,
SB181/HB200; SB601/HB814; SB59/HB107; SB365/HB588; SB26/HB111,A021447, Stephanie Ann Klapper, Maryland Citizens' Health Initiative Inc.," Maryland Citizens' Health Initiative, Inc.", Health Care Advocacy,1,Insurance - Health,,2,Public Health,,,,,,,,,,
Public Health; Health Care Access; Advance Directives; Mental Health; Operating Budget,A021449, Nicolette Highsmith Vernick, The Horizon Foundation of Howard County," Horizon Foundation of Howard County, Inc., The", Non-Profit,1,Public Health,,2,Local Government - Generally,,3,Transportation - Generally,,,,,,,
SB202/HB279; HB517,A021451, Catherine Audrey Kirk Robins," Maryland Citizens' Health Initiative, Inc."," Maryland Citizens' Health Initiative, Inc.", Health Care Advocacy,1,Insurance - Health,,2,Public Health,,,,,,,,,,
,A021453, Gail Poffenberger Yeiser," Maryland Agriculture Council, Inc."," Maryland Agriculture Council, Inc.", promotion of agriculture,1,Agriculture,,2,Environment,,3,Higher Education,,4,Primary and Secondary Education,,5,Transportation - Highways,
"HB0033;
HB0034;
HB0037;
HB0039;
HB0046;
HB0050;
HB0067;
HB0086;
HB0097;
HB0099;
HB0118;
HB0142;
HB0181;
HB0189;
HB0223;
HB0225;
HB0254;
HB0262;
HB0282;
HB0337;
HB0371;
HB0379;
HB0392;
HB0397;
HB0400;
HB0419;
HB0442;
HB0457;
HB0476;
HB0494;
HB0498;
HB0536;
HB0548;
HB0549;
HB0551;
HB0552;
HB0556;
HB0625;
HB0660;
HB0664;
HB0669;
HB0686;
HB0689;
HB0711;
HB0720;
HB0729;
HB0741;
HB0746;
HB0806;
HB0807;
HB0832;
HB0837;
HB0845;
HB0854;
HB0867;
HB0913;
HB0935;
HB0955;
HB0969;
HB0994;
HB0995;
HB0996;
HB1034;
HB1060;
HB1065;
HB1068;
HB1082;
HB1124;
HB1132;
HB1150;
HB1163;
HB1187;
HB1189;
HB1213;
HB1223;
HB1290;
HB1293;
SB0006;
SB0037;
SB0065;
SB0081;
SB0088;
SB0090;
SB0153;
SB0165;
SB0169;
SB0173;
SB0189;
SB0192;
SB0197;
SB0221;
SB0238;
SB0270;
SB0277;
SB0307;
SB0316;
SB0328;
SB0408;
SB0445;
SB0455;
SB0476;
SB0496;
SB0505;
SB0516;
SB0544;
SB0547;
SB0549;
SB0550;
SB0555;
SB0576;
SB0591;
SB0685;
SB0698;
SB0766;
SB0767;
SB0790;
SB0799;
SB0800;
SB0801;
SB0822;
SB0844;
SB0861;
SB0862;
SB0868;
SB0904;
SB0929;
SB0943;
SB0959;
SB0973",A021455, Christopher V. DiPietro, CDi Consulting Services LLC," CDi Consulting Services, LLC", government relations & association management,1,Commercial Law - Consumer Protection,,2,Commercial Law - Credit Regulation,,3,Corporations and Associations,,4,Financial Institutions,,5,Other,issues pertinent to clients
"HB0498;
SB0328",A021457, Christopher V. DiPietro, CDi Consulting Services LLC," SHI International, Corporation", global provider of information technology products and services,1,Other,IT products and solutions,,,,,,,,,,,,
,A021458, Christopher V. DiPietro, CDi Consulting Services LLC," SHI International, Corporation", global provider of information technology products and services,1,Other,IT products and solutions,,,,,,,,,,,,
"HB0033;
HB0037;
HB0039;
HB0046;
HB0050;
HB0099;
HB0118;
HB0142;
HB0181;
HB0225;
HB0262;
HB0282;
HB0337;
HB0371;
HB0379;
HB0392;
HB0400;
HB0457;
HB0476;
HB0494;
HB0548;
HB0549;
HB0556;
HB0625;
HB0686;
HB0729;
HB0741;
HB0807;
HB0832;
HB0837;
HB0845;
HB0913;
HB1150;
HB1223;
SB0065;
SB0081;
SB0090;
SB0197;
SB0238;
SB0270;
SB0277;
SB0307;
SB0316;
SB0445;
SB0476;
SB0516;
SB0550;
SB0555;
SB0576;
SB0698;
SB0861;
SB0862;
SB0904;
SB0929;
SB0943;
SB0973",A021459, Christopher V. DiPietro, CDi Consulting Services LLC,, banking,1,Financial Institutions,,2,Commercial Law - Consumer Protection,,3,Commercial Law - Credit Regulation,,4,Corporations and Associations,,,,
"HB0033;
HB0037;
HB0050;
HB0097;
HB0189;
HB0379;
HB0392;
HB0536;
HB0660;
HB0664;
HB0746;
HB0807;
HB0854;
HB0994;
HB1293;
SB0037;
SB0088;
SB0090;
SB0165;
SB0169;
SB0173;
SB0221;
SB0505;
SB0544;
SB0576;
SB0698;
SB0862;
SB0929;
SB0973",A021461, Christopher V. DiPietro, CDi Consulting Services LLC,, trade association,1,Other,"consumer products, privacy",2,Other,consumer reporting agencies,,,,,,,,,
"HB0033;
HB0037;
HB0050;
HB0097;
HB0189;
HB0379;
HB0392;
HB0536;
HB0660;
HB0664;
HB0746;
HB0807;
HB0854;
HB0994;
HB1293;
SB0037;
SB0088;
SB0090;
SB0165;
SB0169;
SB0173;
SB0221;
SB0505;
SB0544;
SB0576;
SB0698;
SB0862;
SB0929;
SB0973",A021461, Christopher V. DiPietro, CDi Consulting Services LLC,, trade association,1,Other,"consumer products, privacy",2,Other,consumer reporting agencies,,,,,,,,,
"HB0033;
HB0037;
HB0039;
HB0046;
HB0067;
HB0379;
HB0392;
HB0549;
HB0741;
HB0807;
SB0090;
SB0169;
SB0496;
SB0555;
SB0576;
SB0698;
SB0861;
SB0862;
SB0929;
SB0973",A021463, Christopher V. DiPietro, CDi Consulting Services LLC, Fiserv, financial services,1,Financial Institutions,,,,,,,,,,,,,
"HB0039;
HB0046;
HB0262;
HB0549;
HB0741;
HB0807;
HB0955;
SB0555;
SB0576;
SB0698;
SB0862;
SB0973",A021465, Christopher V. DiPietro, CDi Consulting Services LLC," CarMax, Inc.", vehicle sales,1,Vehicle Laws - Miscellaneous,,2,Other,automobile industry,3,Commercial Law - Credit Regulation,,,,,,,
HB1187,A021469, Christopher V. DiPietro, CDi Consulting Services LLC," Turo, Inc.", Peer-to-peer car rental service,1,Transportation - Generally,,,,,,,,,,,,,
"HB0033;
HB0039;
HB0046;
HB0181;
HB0223;
HB0419;
HB0442;
HB0494;
HB0498;
HB0549;
HB0551;
HB0552;
HB0689;
HB0711;
HB0720;
HB0741;
HB0807;
HB0935;
HB0969;
HB0995;
HB0996;
HB1034;
HB1065;
HB1068;
HB1082;
HB1124;
HB1132;
HB1189;
HB1213;
SB0169;
SB0192;
SB0197;
SB0328;
SB0408;
SB0547;
SB0549;
SB0555;
SB0576;
SB0698;
SB0767;
SB0790;
SB0799;
SB0800;
SB0801;
SB0822;
SB0844;
SB0862;
SB0868;
SB0973",A021471, Christopher V. DiPietro, CDi Consulting Services LLC, Microsoft Corporation, software development,1,Operating Budget,,2,Other,technology,3,Capital Budget,,,,,,,
"HB0033;
HB0037;
HB0039;
HB0046;
HB0050;
HB0099;
HB0118;
HB0225;
HB0262;
HB0282;
HB0371;
HB0379;
HB0392;
HB0400;
HB0457;
HB0476;
HB0494;
HB0548;
HB0549;
HB0625;
HB0686;
HB0729;
HB0741;
HB0807;
HB0832;
HB0837;
HB0845;
HB0913;
HB1150;
HB1223;
SB0065;
SB0090;
SB0169;
SB0238;
SB0277;
SB0307;
SB0316;
SB0445;
SB0476;
SB0550;
SB0555;
SB0576;
SB0698;
SB0861;
SB0862;
SB0904
SB0929;
SB0943;
SB0973",A021473, Christopher V. DiPietro, CDi Consulting Services LLC, Mid-Atlantic Financial Services Association, financial services,1,Financial Institutions,,2,Commercial Law - Consumer Protection,,3,Commercial Law - Credit Regulation,,,,,,,
,A021475, Charles S. Hall, American Kennel Club, American Kennel Club, Non-Profit,1,Other,Any and all action related to dog ownership and similar issues,,,,,,,,,,,,
HB988/SB828; HB 244/SB 253; HB 760/SB 351; HB 702/SB 509; HB 271/SB 3; HB 614/SB 228; HB 497/SB 498; HB 278/SB 213; SB 974; SB 534; HB 1148/SB 582; HB 279/SB 202; HB 86/SB 189; HB 1191/SB 797; HB 774/SB 665; HB 37/SB 90; HB 502/SB 2; HB 239/SB 382; SB 579; HB 551; HB 32/SB 124; SB 32; HB 707/ SB 660; HB 9/SB 19; HB 554/SB 553; HB 316/SB 354; HB 410; Program Participation and Waitlists,A021478, Tamela Elizabeth  Bresnahan, AARP, AARP Maryland, Non-Profit,1,Elderly,All matters related to Aging,2,Other,Long Term Care; Health and Wellness; Utilities Labor and Labor benefits; Caregiving; Pensions; Fraud and Exploitation; Adult Protective Services; Guardianship,,,,,,,,,
SB1; HB824; SB858/HB307; SB185/HB3; SB113/HB259; SB159/HB162; SB598; SB788/HB861,A021480, Karen  Herren, Marylanders to Prevent Gun Violence, Marylanders to Prevent Gun Violence, gun violence prevention,1,Public Safety,Gun Violence Prevention,2,Criminal Law - Substantive Crimes,Firearm related offenses,3,Other,Root causes of gun violence/access to opportunity,,,,,,
HB200/SB181; HB201/SB182; HB503/SB923; HB793/SB781; HB6/SB92,A021482, Ryan  Fredriksson," National Aquarium in Baltimore, Inc.", National Aquarium," aquarium, living museum, education, open to public",1,Capital Budget,,2,Operating Budget,,3,Environment,,,,,,,
HB 5; HB 69; HB 78; HB 81; HB 82; HB 85; HB 99; HB 119; HB 165; HB 203; HB 226; HB 272; HB 290; HB 294 HB 343; HB 350; HB 359; HB 375; HB 448; HB 458; HB 461; HB 469; HB 488; HB 510; HB 514; HB 515; HB 546; HB 569; HB 576; HB 598; HB 603; HB 628; HB 649; HB 737; HB 739; HB 770; HB 782; HB 849; HB 878; HB 880; HB 888; HB 900; HB 935; HB 961; HB 983; HB 984; HB 988; HB 1054; HB 1105; HB 1110; HB 1114; HB 1164; HB 1196; HB 1202; HB 1203; HB 1211; HB 1219; HB 1234; HB 1237; SB 11; SB 21; SB95; SB 109; SB 120; SB 121; SB 127; SB 149; SB 199; SB 201; SB206; SB 237; SB 238; SB 268; SB 291; SB 321; SB 338; SB 355; SB 367; SB 419; SB 482; SB 551; SB 557; SB 559; SB 573; SB 609; SB 610; SB 614; SB 628; SB 629; SB 646; SB 668; SB 677; SB 735; SB 791; SB 799; SB 809; SB 820; SB 828; SB 829; SB 835; SB 869; SB 879; SB 893; SB 913; SB 926,A021484, John R Woolums, Maryland Association of Boards of Education,, Nonprofit professional services organization,,,,,,1,Education - Miscellaneous,,2,Children,,3,Disabled,,4
,A021486, Lauren Elise Lamb, Maryland State Education Association, Maryland State Education Association, Education Association,1,Education - Miscellaneous,,2,Education - Miscellaneous,,,,,,,,,,
"SB 805, SB 637, HB 1217, HB 693",A021488, Timothy John Sullivan, GSK, Glaxo Smith Kline, Pharmaceuticals,1,Insurance - Health,pharmaceuticals & vaccines,,,,,,,,,,,,
SB800; HB969; HB68; HB1103; SB62; SB357,A021491, Natalie E Cotton," Southern Maryland Electric Cooperative, Inc.", Southern Maryland Electric Cooperative, Electric Utility,1,Energy,,2,Environment,,3,Utility Registration,,4,Local Government - Generally,,5,Economic and Community Development,
//206.162.241.87/MICUAReport.html,A021494, Angela R Sherman, Maryland Independent College & University Assocation, Maryland Independent College and University Association, Association of Colleges,1,Higher Education,,,,,,,,,,,,,
capital budget,A021496, Jarryd  Hawkins, High Street Strategies LLC, Greater Baden Medical Services, Federally Qualified Health Center,1,Health Care Facilities and Regulation,,2,Capital Budget,,,,,,,,,,
"Met on February 8, 2023 with Michael Fang, Head of Fixed Income (portfolio management) to provide an overview of Post Advisory Group, LLC's firm and its high yield strategies potentially applicable to the Maryland State Pension and Retirement System. Also sent emails to follow up on this conversation and a short call on May 12, 2023 to discuss timing of the System's high yield (investment services) search.",A021498, Eileen  Mancera," Post Advisory Group, LLC"," Post Advisory Group, LLC", Investment Advisory Services,1,"State Government - Agencies, Offices, and Officials",Investment Management Services,2,State Pensions and Retirement,Investment Management Services,3,Counties - Generally,Investment Management Services,,,,,,
HB39; HB46; SB576; HB62; SB62; HB68; SB143; HB459; HB511; SB357; HB678; SB640; HB839; SB663; HB908; SB613; HB969; SB800; HB1035; SB905; HB1103; HB1186,A021500, Timothy Robert Troxell, FirstEnergy," FirstEnergy, Corp.", Energy Company Engaged in Eelectricity Supply and Distribution,1,Energy,,2,Taxes - Income,,3,Utility Registration,,,,,,,
Contact with the new secretary of health regarding Medicaid reimbursement rates.,A021502, Tamera Anita Brown Alvarado, Merck Sharp & Dohme LLC, Merck Sharp & Dohme LLC, Pharmaceutical research,1,Other,Healthcare,2,Other,Pharmaceuticals,,,,,,,,,
,A021504, Major F Riddick Jr.," Strategic Solutions Center, LLC", COASTOAK GROUP, REAL PROPERTY,1,Real Property,,,,,,,,,,,,,
,A021506, Chris  Frech, Emergent BioSolutions," Emergent BioSolutions, Inc.", Pharmaceutical Manufacturer,1,Other,healthcare,,,,,,,,,,,,
